Year,April,May,June,July,August,September,October,November,December,January,February,March,Average,Ratio *,
2000-01,22.51,26.60,28.49,27.26,28.33,31.34,30.50,30.93,23.25,24.02,25.92,23.82,26.92,57:43,
2001-02,24.82,26.95,26.63,23.99,25.01,24.79,20.05,18.24,18.24,18.92,19.53,23.31,22.55,57:43,
2002-03,25.03,24.99,24.05,25.18,25.86,27.50,26.90,23.68,27.11,29.59,31.31,28.83,26.60,57:43,
2003-04,24.21,24.99,26.43,27.46,28.66,26.27,28.45,28.23,28.97,30.00,29.65,32.21,27.98,57:43,
2004-05,32.37,36.08,34.16,36.35,40.52,39.15,43.38,38.90,36.82,40.96,42.67,49.27,39.21,57:43,
2005-06,49.43,47.00,52.72,55.01,60.05,59.74,56.28,53.14,55.05,60.54,58.95,60.01,55.72,58:42,
2006-07,67.06,67.22,66.90,71.29,70.78,60.93,57.27,57.79,60.34,52.53,56.53,60.26,62.46,59.8:40.2,
2007-08,65.48,65.70,68.10,72.58,68.98,74.78,79.33,89.11,87.92,89.52,92.37,99.76,79.25,61.4:38.6,
2008-09,105.72,120.91,129.72,132.47,113.05,96.81,69.12,50.91,40.61,43.99,43.22,46.02,83.57,62.3:37.7,
2009-10,50.14,58.00,69.12,64.82,71.98,67.70,73.06,77.39,75.02,76.61,73.69,78.02,69.76,63.5:36.5,
2010-11,84.08,76.16,74.33,73.54,75.13,76.09,81.11,84.26,89.77,93.87,101.62,110.71,85.09,67.6:32.4,
2011-12,118.64,110.80,109.99,112.53,106.94,108.79,106.11,109.62,107.19,110.47,117.67,123.61,111.89,65.2:34.8,
2012-13,117.97,108.05,94.51,100.34,110.07,111.77,109.79,107.87,107.28,109.55,112.68,106.45,107.97,68.2:31.8,
2013-14,101.57,101.10,101.11,104.86,108.45,109.47,107.37,106.55,108.72,105.29,106.19,105.30,105.52,69.9:30.1,
2014-15,105.56,106.85,109.05,106.30,101.89,96.96,86.83,77.58,61.21,46.59,56.43,55.18,84.16,72.04:27.96,
2015-16,59.07,63.82,61.75,56.30,47.33,46.10,46.68,42.50,35.68,28.08,30.53,36.42,46.17,72.28:27.72,
2016-17,39.88,45.01,46.96,43.52,44.38,44.48,49.25,44.46,52.74,54.08,54.86,51.47,47.56,71.03:28.97,
2017-18,52.49,50.57,46.56,47.86,50.63,54.52,56.06,61.32,62.29,67.06,63.54,63.80,56.43,72.38:27.62,
2018-19,69.22,75.25,73.83,73.47,72.53,77.88,80.08,65.40,57.77,59.27,64.53,66.74,69.88,74.77:25.23,
2019-20,71.00,70.01,62.37,63.63,59.35,61.72,59.70,62.53,65.50,64.31,54.63,33.36,60.47,75.50:24.50,
2020-21,19.90,30.61,40.63,43.35,44.19,41.35,40.66,43.34,49.84,54.79,61.22,64.73,44.82,75.62:24.38,
2021-22,63.40,66.95,71.98,73.54,69.80,73.13,82.11,80.64,73.30,84.67,94.07,112.87,79.18,75.62:24.38,
2022-23,102.97,109.51,116.01,105.49,97.40,90.71,91.70,87.55,78.10,80.92,82.28,78.54,93.15,75.62:24.38,
2023-24,83.76,74.98,74.93,80.37,86.43,93.54,90.08,83.46,77.42,79.22,81.62,84.49,82.58,75.62:24.38,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
